tench, with Snoopy
goldfish, with Snoopy
great white shark, with Snoopy
tiger shark, with Snoopy
hammerhead, with Snoopy
electric ray, with Snoopy
stingray, with Snoopy
cock, with Snoopy
hen, with Snoopy
ostrich, with Snoopy
brambling, with Snoopy
goldfinch, with Snoopy
house finch, with Snoopy
junco, with Snoopy
indigo bunting, with Snoopy
robin, with Snoopy
bulbul, with Snoopy
jay, with Snoopy
magpie, with Snoopy
chickadee, with Snoopy
water ouzel, with Snoopy
kite, with Snoopy
bald eagle, with Snoopy
vulture, with Snoopy
great grey owl, with Snoopy
European fire salamander, with Snoopy
common newt, with Snoopy
eft, with Snoopy
spotted salamander, with Snoopy
axolotl, with Snoopy
bullfrog, with Snoopy
tree frog, with Snoopy
tailed frog, with Snoopy
loggerhead, with Snoopy
leatherback turtle, with Snoopy
mud turtle, with Snoopy
terrapin, with Snoopy
box turtle, with Snoopy
banded gecko, with Snoopy
common iguana, with Snoopy
American chameleon, with Snoopy
whiptail, with Snoopy
agama, with Snoopy
frilled lizard, with Snoopy
alligator lizard, with Snoopy
Gila monster, with Snoopy
green lizard, with Snoopy
African chameleon, with Snoopy
Komodo dragon, with Snoopy
African crocodile, with Snoopy
American alligator, with Snoopy
triceratops, with Snoopy
thunder snake, with Snoopy
ringneck snake, with Snoopy
hognose snake, with Snoopy
green snake, with Snoopy
king snake, with Snoopy
garter snake, with Snoopy
water snake, with Snoopy
vine snake, with Snoopy
night snake, with Snoopy
boa constrictor, with Snoopy
rock python, with Snoopy
Indian cobra, with Snoopy
green mamba, with Snoopy
sea snake, with Snoopy
horned viper, with Snoopy
diamondback, with Snoopy
sidewinder, with Snoopy
trilobite, with Snoopy
harvestman, with Snoopy
scorpion, with Snoopy
black and gold garden spider, with Snoopy
barn spider, with Snoopy
garden spider, with Snoopy
black widow, with Snoopy
tarantula, with Snoopy
wolf spider, with Snoopy
tick, with Snoopy
centipede, with Snoopy
black grouse, with Snoopy
ptarmigan, with Snoopy
ruffed grouse, with Snoopy
prairie chicken, with Snoopy
peacock, with Snoopy
quail, with Snoopy
partridge, with Snoopy
African grey, with Snoopy
macaw, with Snoopy
sulphur-crested cockatoo, with Snoopy
lorikeet, with Snoopy
coucal, with Snoopy
bee eater, with Snoopy
hornbill, with Snoopy
